Entity,Code,Year, crop(tonnes per hectare),RMSE
Kulon Progo,KLP,1962,1.3123,0.3177700340747833
Kulon Progo,KLP,1964,1.3048,0.3177700340747833
Kulon Progo,KLP,1965,1.3092,0.3177700340747833
Kulon Progo,KLP,1966,1.1606,0.3177700340747833
Kulon Progo,KLP,1967,1.3809,0.3177700340747833
Kulon Progo,KLP,1968,1.3066,0.3177700340747833
Kulon Progo,KLP,1969,1.3828,0.3177700340747833
Kulon Progo,KLP,1970,1.3369,0.3177700340747833
Kulon Progo,KLP,1971,1.3149,0.3177700340747833
Kulon Progo,KLP,1972,1.4421,0.3177700340747833
Kulon Progo,KLP,1973,1.3393,0.3177700340747833
Kulon Progo,KLP,1974,1.413,0.3177700340747833
Kulon Progo,KLP,1975,1.4295,0.3177700340747833
Kulon Progo,KLP,1976,1.5248,0.3177700340747833
Kulon Progo,KLP,1977,1.5048,0.3177700340747833
Kulon Progo,KLP,1978,1.5967,0.3177700340747833
Kulon Progo,KLP,1979,1.6322,0.3177700340747833
Kulon Progo,KLP,1980,1.2197,0.3177700340747833
Kulon Progo,KLP,1981,1.4406,0.3177700340747833
Kulon Progo,KLP,1982,1.779,0.3177700340747833
Kulon Progo,KLP,1983,1.833,0.3177700340747833
Kulon Progo,KLP,1984,1.7308,0.3177700340747833
Kulon Progo,KLP,1985,1.7496,0.3177700340747833
Kulon Progo,KLP,1986,1.761,0.3177700340747833
Kulon Progo,KLP,1987,1.8662,0.3177700340747833
Kulon Progo,KLP,1988,1.6486,0.3177700340747833
Kulon Progo,KLP,1989,1.9843,0.3177700340747833
Kulon Progo,KLP,1990,1.8775,0.3177700340747833
Kulon Progo,KLP,1991,2.0582,0.3177700340747833
Kulon Progo,KLP,1992,1.8735,0.3177700340747833
Kulon Progo,KLP,1993,1.8084,0.3177700340747833
Kulon Progo,KLP,1994,2.2828,0.3177700340747833
Kulon Progo,KLP,1995,2.5321,0.3177700340747833
Kulon Progo,KLP,1996,2.3629,0.3177700340747833
Kulon Progo,KLP,1997,2.6005,0.3177700340747833
Kulon Progo,KLP,1998,2.697,0.3177700340747833
Kulon Progo,KLP,1999,2.6228,0.3177700340747833
Kulon Progo,KLP,2000,2.7964,0.3177700340747833
Kulon Progo,KLP,2001,2.7591,0.3177700340747833
Kulon Progo,KLP,2002,2.7447,0.3177700340747833
Kulon Progo,KLP,2003,3.4026,0.3177700340747833
Kulon Progo,KLP,2004,3.0579,0.3177700340747833
Kulon Progo,KLP,2005,3.7273,0.3177700340747833
Kulon Progo,KLP,2006,3.3671,0.3177700340747833
Kulon Progo,KLP,2007,3.0403,0.3177700340747833
Kulon Progo,KLP,2008,3.3823,0.3177700340747833
Kulon Progo,KLP,2009,3.7852,0.3177700340747833
Kulon Progo,KLP,2010,4.08,0.3177700340747833
Kulon Progo,KLP,2011,3.7145,0.3177700340747833
Kulon Progo,KLP,2012,4.3667,0.3177700340747833
Kulon Progo,KLP,2013,4.2107,0.3177700340747833
Kulon Progo,KLP,2014,5.0057,0.3177700340747833
Kulon Progo,KLP,2014,5.2536,0.3177700340747833
Kulon Progo,KLP,2015,5.1761,0.3177700340747833
Kulon Progo,KLP,2016,5.3950934410095215,0.3177700340747833
Kulon Progo,KLP,2017,5.814759254455566,0.3177700340747833
Kulon Progo,KLP,2018,6.196469783782959,0.3177700340747833
Kulon Progo,KLP,2019,6.596556186676025,0.3177700340747833
Kulon Progo,KLP,2020,7.21713399887085,0.3177700340747833
Bantul,BTL,1962,1.0588,0.2673458755016327
Bantul,BTL,1964,1.0,0.2673458755016327
Bantul,BTL,1965,1.0,0.2673458755016327
Bantul,BTL,1966,0.6258,0.2673458755016327
Bantul,BTL,1967,0.7778,0.2673458755016327
Bantul,BTL,1968,0.8487,0.2673458755016327
Bantul,BTL,1969,1.0,0.2673458755016327
Bantul,BTL,1970,2.0,0.2673458755016327
Bantul,BTL,1971,1.9231,0.2673458755016327
Bantul,BTL,1972,1.7143,0.2673458755016327
Bantul,BTL,1973,2.2414,0.2673458755016327
