Entity,Code,Year, crop(tonnes per hectare),RMSE
Kulon Progo,KLP,1962,14.5798,1.6465715169906616
Kulon Progo,KLP,1964,13.875,1.6465715169906616
Kulon Progo,KLP,1965,13.8704,1.6465715169906616
Kulon Progo,KLP,1966,13.8308,1.6465715169906616
Kulon Progo,KLP,1967,14.3138,1.6465715169906616
Kulon Progo,KLP,1968,13.8777,1.6465715169906616
Kulon Progo,KLP,1969,15.6,1.6465715169906616
Kulon Progo,KLP,1970,14.2755,1.6465715169906616
Kulon Progo,KLP,1971,13.4057,1.6465715169906616
Kulon Progo,KLP,1972,14.6341,1.6465715169906616
Kulon Progo,KLP,1973,14.9169,1.6465715169906616
Kulon Progo,KLP,1974,13.8313,1.6465715169906616
Kulon Progo,KLP,1975,17.5875,1.6465715169906616
Kulon Progo,KLP,1976,16.6914,1.6465715169906616
Kulon Progo,KLP,1977,15.7306,1.6465715169906616
Kulon Progo,KLP,1978,16.8237,1.6465715169906616
Kulon Progo,KLP,1979,15.3101,1.6465715169906616
Kulon Progo,KLP,1980,17.9166,1.6465715169906616
Kulon Progo,KLP,1981,19.695,1.6465715169906616
Kulon Progo,KLP,1982,17.3089,1.6465715169906616
Kulon Progo,KLP,1983,17.4214,1.6465715169906616
Kulon Progo,KLP,1984,18.271,1.6465715169906616
Kulon Progo,KLP,1985,18.3081,1.6465715169906616
Kulon Progo,KLP,1986,19.25,1.6465715169906616
Kulon Progo,KLP,1987,18.1579,1.6465715169906616
Kulon Progo,KLP,1988,19.7403,1.6465715169906616
Kulon Progo,KLP,1989,19.4226,1.6465715169906616
Kulon Progo,KLP,1990,18.25,1.6465715169906616
Kulon Progo,KLP,1991,19.0225,1.6465715169906616
Kulon Progo,KLP,1991,21.0,1.6465715169906616
Kulon Progo,KLP,1992,19.7514,1.6465715169906616
Kulon Progo,KLP,1993,20.01230239868164,1.6465715169906616
Kulon Progo,KLP,1994,20.22914695739746,1.6465715169906616
Kulon Progo,KLP,1995,20.325782775878906,1.6465715169906616
Kulon Progo,KLP,1996,20.556865692138672,1.6465715169906616
Kulon Progo,KLP,1997,20.580379486083984,1.6465715169906616
Bantul,BTL,1962,14.5798,4.808376789093018
Bantul,BTL,1964,13.875,4.808376789093018
Bantul,BTL,1965,13.8704,4.808376789093018
Bantul,BTL,1966,13.8308,4.808376789093018
Bantul,BTL,1967,14.3138,4.808376789093018
Bantul,BTL,1968,13.8777,4.808376789093018
Bantul,BTL,1969,15.6,4.808376789093018
Bantul,BTL,1970,14.2755,4.808376789093018
Bantul,BTL,1971,13.4057,4.808376789093018
Bantul,BTL,1972,14.6341,4.808376789093018
Bantul,BTL,1973,14.9169,4.808376789093018
Bantul,BTL,1974,13.8313,4.808376789093018
Bantul,BTL,1975,17.5875,4.808376789093018
Bantul,BTL,1976,16.6914,4.808376789093018
Bantul,BTL,1977,15.7306,4.808376789093018
Bantul,BTL,1978,16.8237,4.808376789093018
Bantul,BTL,1979,15.3101,4.808376789093018
Bantul,BTL,1980,17.9166,4.808376789093018
Bantul,BTL,1981,19.695,4.808376789093018
Bantul,BTL,1982,17.3089,4.808376789093018
Bantul,BTL,1983,17.4214,4.808376789093018
Bantul,BTL,1984,18.271,4.808376789093018
Bantul,BTL,1985,18.3081,4.808376789093018
Bantul,BTL,1986,19.25,4.808376789093018
Bantul,BTL,1987,18.1579,4.808376789093018
Bantul,BTL,1988,19.7403,4.808376789093018
Bantul,BTL,1989,19.4226,4.808376789093018
Bantul,BTL,1990,18.25,4.808376789093018
Bantul,BTL,1991,19.0225,4.808376789093018
Bantul,BTL,1992,21.0,4.808376789093018
Bantul,BTL,1993,19.7514,4.808376789093018
Bantul,BTL,1994,25.8824,4.808376789093018
Bantul,BTL,1995,33.1667,4.808376789093018
Bantul,BTL,1996,32.5,4.808376789093018
Bantul,BTL,1997,30.7576,4.808376789093018
Bantul,BTL,1998,30.0852,4.808376789093018
Bantul,BTL,1999,25.68,4.808376789093018
Bantul,BTL,2000,29.0,4.808376789093018
Bantul,BTL,2001,26.1847,4.808376789093018
Bantul,BTL,2002,25.7099,4.808376789093018
Bantul,BTL,2003,29.579,4.808376789093018
Bantul,BTL,2004,30.2613,4.808376789093018
Bantul,BTL,2005,31.1737,4.808376789093018
Bantul,BTL,2006,36.0022,4.808376789093018
Bantul,BTL,2007,37.3467,4.808376789093018
Bantul,BTL,2008,44.3144,4.808376789093018
Bantul,BTL,2009,43.6072,4.808376789093018
Bantul,BTL,2010,46.9529,4.808376789093018
Bantul,BTL,2011,44.709,4.808376789093018
Bantul,BTL,2012,38.6552,4.808376789093018
Bantul,BTL,2013,40.2911,4.808376789093018
Bantul,BTL,2014,42.3601,4.808376789093018
Bantul,BTL,2014,43.9657,4.808376789093018
Bantul,BTL,2015,45.8822,4.808376789093018
Bantul,BTL,2016,44.705299377441406,4.808376789093018
Bantul,BTL,2017,47.603485107421875,4.808376789093018
Bantul,BTL,2018,47.8885612487793,4.808376789093018
Bantul,BTL,2019,47.963043212890625,4.808376789093018
Bantul,BTL,2020,47.44548416137695,4.808376789093018
Gunung Kidul,GKD,1962,14.5798,5.430661201477051
Gunung Kidul,GKD,1964,13.875,5.430661201477051
Gunung Kidul,GKD,1965,13.8704,5.430661201477051
Gunung Kidul,GKD,1966,13.8308,5.430661201477051
Gunung Kidul,GKD,1967,14.3138,5.430661201477051
Gunung Kidul,GKD,1968,13.8777,5.430661201477051
Gunung Kidul,GKD,1969,15.6,5.430661201477051
Gunung Kidul,GKD,1970,14.2755,5.430661201477051
Gunung Kidul,GKD,1971,13.4057,5.430661201477051
Gunung Kidul,GKD,1972,14.6341,5.430661201477051
Gunung Kidul,GKD,1973,14.9169,5.430661201477051
Gunung Kidul,GKD,1974,13.8313,5.430661201477051
Gunung Kidul,GKD,1975,17.5875,5.430661201477051
Gunung Kidul,GKD,1976,16.6914,5.430661201477051
Gunung Kidul,GKD,1977,15.7306,5.430661201477051
Gunung Kidul,GKD,1978,16.8237,5.430661201477051
Gunung Kidul,GKD,1979,15.3101,5.430661201477051
Gunung Kidul,GKD,1980,17.9166,5.430661201477051
Gunung Kidul,GKD,1981,19.695,5.430661201477051
Gunung Kidul,GKD,1982,17.3089,5.430661201477051
Gunung Kidul,GKD,1983,17.4214,5.430661201477051
Gunung Kidul,GKD,1984,18.271,5.430661201477051
Gunung Kidul,GKD,1985,18.3081,5.430661201477051
Gunung Kidul,GKD,1986,19.25,5.430661201477051
Gunung Kidul,GKD,1987,18.1579,5.430661201477051
Gunung Kidul,GKD,1988,19.7403,5.430661201477051
Gunung Kidul,GKD,1989,19.4226,5.430661201477051
Gunung Kidul,GKD,1990,18.25,5.430661201477051
Gunung Kidul,GKD,1991,19.0225,5.430661201477051
Gunung Kidul,GKD,1992,21.0,5.430661201477051
Gunung Kidul,GKD,1993,19.7514,5.430661201477051
Gunung Kidul,GKD,1994,19.1654,5.430661201477051
Gunung Kidul,GKD,1995,19.8757,5.430661201477051
Gunung Kidul,GKD,1996,19.3175,5.430661201477051
Gunung Kidul,GKD,1997,19.0476,5.430661201477051
Gunung Kidul,GKD,1998,18.5383,5.430661201477051
Gunung Kidul,GKD,1999,19.6861,5.430661201477051
Gunung Kidul,GKD,2000,20.0249,5.430661201477051
Gunung Kidul,GKD,2001,20.4886,5.430661201477051
Gunung Kidul,GKD,2002,21.5556,5.430661201477051
Gunung Kidul,GKD,2003,22.4615,5.430661201477051
Gunung Kidul,GKD,2004,21.7433,5.430661201477051
Gunung Kidul,GKD,2005,22.0773,5.430661201477051
Gunung Kidul,GKD,2006,22.0906,5.430661201477051
Gunung Kidul,GKD,2007,23.8573,5.430661201477051
Gunung Kidul,GKD,2008,26.1877,5.430661201477051
Gunung Kidul,GKD,2009,27.4062,5.430661201477051
Gunung Kidul,GKD,2010,35.7407,5.430661201477051
Gunung Kidul,GKD,2011,38.3636,5.430661201477051
Gunung Kidul,GKD,2012,41.1754,5.430661201477051
Gunung Kidul,GKD,2013,33.0341,5.430661201477051
Gunung Kidul,GKD,2014,35.2361,5.430661201477051
Gunung Kidul,GKD,2014,35.4942,5.430661201477051
Gunung Kidul,GKD,2015,35.1378,5.430661201477051
Gunung Kidul,GKD,2016,35.12696838378906,5.430661201477051
Gunung Kidul,GKD,2017,35.729835510253906,5.430661201477051
Gunung Kidul,GKD,2018,36.24507141113281,5.430661201477051
Gunung Kidul,GKD,2019,36.675025939941406,5.430661201477051
Gunung Kidul,GKD,2020,36.96995544433594,5.430661201477051
Sleman,SLM,1962,16.457,5.80938720703125
Sleman,SLM,1964,17.5,5.80938720703125
Sleman,SLM,1965,17.5,5.80938720703125
Sleman,SLM,1966,13.6449,5.80938720703125
Sleman,SLM,1967,12.2853,5.80938720703125
Sleman,SLM,1968,11.1779,5.80938720703125
Sleman,SLM,1969,9.0958,5.80938720703125
Sleman,SLM,1970,10.0478,5.80938720703125
Sleman,SLM,1971,11.1907,5.80938720703125
Sleman,SLM,1972,9.4496,5.80938720703125
Sleman,SLM,1973,8.0939,5.80938720703125
Sleman,SLM,1974,9.2235,5.80938720703125
Sleman,SLM,1975,9.2235,5.80938720703125
Sleman,SLM,1976,9.5584,5.80938720703125
Sleman,SLM,1977,11.3043,5.80938720703125
Sleman,SLM,1978,8.8617,5.80938720703125
Sleman,SLM,1979,8.1554,5.80938720703125
Sleman,SLM,1980,8.0975,5.80938720703125
Sleman,SLM,1981,8.5632,5.80938720703125
Sleman,SLM,1982,14.6004,5.80938720703125
Sleman,SLM,1983,10.5287,5.80938720703125
Sleman,SLM,1984,8.9047,5.80938720703125
Sleman,SLM,1985,8.4591,5.80938720703125
Sleman,SLM,1986,10.0189,5.80938720703125
Sleman,SLM,1987,10.2515,5.80938720703125
Sleman,SLM,1988,13.5667,5.80938720703125
Sleman,SLM,1989,13.0293,5.80938720703125
Sleman,SLM,1990,12.6639,5.80938720703125
Sleman,SLM,1991,13.5397,5.80938720703125
Sleman,SLM,1992,12.5631,5.80938720703125
Sleman,SLM,1993,14.4635,5.80938720703125
Sleman,SLM,1994,15.5228,5.80938720703125
Sleman,SLM,1995,17.1158,5.80938720703125
Sleman,SLM,1996,16.733,5.80938720703125
Sleman,SLM,1997,18.3902,5.80938720703125
Sleman,SLM,1998,17.1109,5.80938720703125
Sleman,SLM,1999,15.8903,5.80938720703125
Sleman,SLM,2000,16.2936,5.80938720703125
Sleman,SLM,2001,17.294,5.80938720703125
Sleman,SLM,2002,18.6026,5.80938720703125
Sleman,SLM,2003,20.8519,5.80938720703125
Sleman,SLM,2004,19.1706,5.80938720703125
Sleman,SLM,2005,19.3986,5.80938720703125
Sleman,SLM,2006,23.3696,5.80938720703125
Sleman,SLM,2007,24.1641,5.80938720703125
Sleman,SLM,2008,25.6784,5.80938720703125
Sleman,SLM,2009,28.254,5.80938720703125
Sleman,SLM,2010,28.4533,5.80938720703125
Sleman,SLM,2011,30.8352,5.80938720703125
Sleman,SLM,2012,33.6284,5.80938720703125
Sleman,SLM,2013,37.5021,5.80938720703125
Sleman,SLM,2014,36.9958,5.80938720703125
Sleman,SLM,2014,43.3424,5.80938720703125
